2017-02-05 16:27:07 INFO  BlockManagerInfo:54 - Added broadcast_8_piece0 in memory on 192.168.0.103:63440 (size: 545.6 KB, free: 1992.1 MB)
2017-02-05 16:27:07 INFO  SparkContext:54 - Created broadcast 8 from broadcast at GSO_SparkMain.java:150
2017-02-05 16:27:07 INFO  GSO_SparkMain:153 - ******************Iteration: 4***************************
2017-02-05 16:27:07 INFO  SparkContext:54 - Starting job: collect at GSO_SparkMain.java:160
2017-02-05 16:27:07 INFO  DAGScheduler:54 - Got job 4 (collect at GSO_SparkMain.java:160) with 1 output partitions
2017-02-05 16:27:07 INFO  DAGScheduler:54 - Final stage: ResultStage 4 (collect at GSO_SparkMain.java:160)
2017-02-05 16:27:07 INFO  DAGScheduler:54 - Parents of final stage: List()
2017-02-05 16:27:07 INFO  DAGScheduler:54 - Missing parents: List()
2017-02-05 16:27:07 INFO  DAGScheduler:54 - Submitting ResultStage 4 (MapPartitionsRDD[14] at map at GSO_SparkMain.java:160), which has no missing parents
2017-02-05 16:27:07 INFO  MemoryStore:54 - Block broadcast_9 stored as values in memory (estimated size 797.1 KB, free 1985.9 MB)
2017-02-05 16:27:07 INFO  MemoryStore:54 - Block broadcast_9_piece0 stored as bytes in memory (estimated size 547.2 KB, free 1985.3 MB)
2017-02-05 16:27:07 INFO  BlockManagerInfo:54 - Added broadcast_9_piece0 in memory on 192.168.0.103:63440 (size: 547.2 KB, free: 1991.5 MB)
2017-02-05 16:27:07 INFO  SparkContext:54 - Created broadcast 9 from broadcast at DAGScheduler.scala:1012
2017-02-05 16:27:07 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 4 (MapPartitionsRDD[14] at map at GSO_SparkMain.java:160)
2017-02-05 16:27:07 INFO  TaskSchedulerImpl:54 - Adding task set 4.0 with 1 tasks
2017-02-05 16:27:07 WARN  TaskSetManager:66 - Stage 4 contains a task of very large size (797 KB). The maximum recommended task size is 100 KB.
2017-02-05 16:27:07 INFO  TaskSetManager:54 - Starting task 0.0 in stage 4.0 (TID 4, localhost, partition 0, PROCESS_LOCAL, 816991 bytes)
2017-02-05 16:27:07 INFO  Executor:54 - Running task 0.0 in stage 4.0 (TID 4)
